id,name,kind,tasks,notes,url
ust-001,Couteau de chef 20 cm,couteau,"Découper viandes, légumes, herbes.","Polyvalent, indispensable au quotidien.","https://example.com/couteau-chef-20"
ust-002,Couteau d'office 9 cm,couteau,"Éplucher, parer, couper petits fruits et légumes.","Lame courte, maniable pour travaux de précision.","https://example.com/couteau-office-9"
ust-003,Couteau à pain,couteau,"Couper pain, brioches, croûtes dures.","Lame crantée longue, ne pas utiliser sur légumes.","https://example.com/couteau-pain"
ust-004,Couteau à filets de poisson,couteau,"Lever des filets, parer poissons.","Lame fine et flexible, idéale pour poissons délicats.","https://example.com/couteau-filet"
ust-005,Couteau à désosser,couteau,"Désosser volailles, pièces de viande.","Lame rigide et pointue pour suivre les os.","https://example.com/couteau-desosser"
ust-006,Planche à découper bois,planche,"Découper viandes, légumes, fruits.","Prévoir une planche dédiée à la viande pour l’hygiène.","https://example.com/planche-bois"
ust-007,Planche à découper plastique,planche,"Découper aliments juteux, poissons, viandes.","Passe généralement au lave‑vaisselle, entretien facile.","https://example.com/planche-plastique"
ust-008,Rouleau à pâtisserie,rouleau,"Étaler pâtes à tarte, pizza, biscuits.","Peut être en bois ou inox, fariner légèrement avant usage.","https://example.com/rouleau-patisserie"
ust-009,Saladier inox,saladier,"Mélanger préparations, salades, marinades.","Version pro du bol, résiste bien aux chocs et à la chaleur.","https://example.com/saladier-inox"
ust-010,Saladier verre,saladier,"Servir salades, mélanger préparations froides.","Transparent, pratique pour voir la texture des mélanges.","https://example.com/saladier-verre"
ust-011,Balance de cuisine,balance,"Peser ingrédients solides et liquides.","Idéale pour pâtisserie et recettes précises.","https://example.com/balance-cuisine"
ust-012,Verre doseur,mesure,"Mesurer volumes de liquides, farine, sucre.","Graduations multiples, souvent en ml et en cups.","https://example.com/verre-doseur"
ust-013,Cuillère à soupe inox,cuillere,"Mélanger, servir sauces et plats.","Peut aussi servir de mesure approximative (15 ml).","https://example.com/cuillere-soupe"
ust-014,Cuillère à café inox,cuillere,"Mélanger boissons, doser petites quantités.","Mesure d’environ 5 ml en cuisine.","https://example.com/cuillere-cafe"
ust-015,Louche inox,louche,"Servir soupes, sauces, ragoûts.","Prévoir un crochet ou trou pour la suspendre.","https://example.com/louche-inox"
ust-016,Écumoire inox,ecumoire,"Retirer aliments d’un liquide, enlever écume.","Parfaite pour fritures et bouillons.","https://example.com/ecumoire"
ust-017,Spatule plate métal,spatule,"Retourner aliments à la poêle, servir poissons.","Fine et rigide, à éviter sur revêtement fragile.","https://example.com/spatule-metal"
ust-018,Spatule silicone haute température,spatule,"Mélanger, racler fonds de casseroles, sauces.","Résiste à la chaleur, n’abîme pas les revêtements.","https://example.com/spatule-silicone"
ust-019,Maryse silicone,maryse,"Racler bols, incorporer délicatement préparations.","Indispensable en pâtisserie pour ne rien perdre.","https://example.com/maryse"
ust-020,Fouet inox,fouet,"Monter chantilly, battre œufs, lisser sauces.","Choisir un fouet assez long pour les casseroles profondes.","https://example.com/fouet-inox"
ust-021,Pince de cuisine inox,pince,"Saisir, retourner viandes, légumes, pâtes.","Très pratique pour grillades et plancha.","https://example.com/pince-cuisine"
ust-022,Pinceau de pâtisserie,pinceau,"Dorer viennoiseries, imbiber biscuits, huiler moules.","Existe en soies naturelles ou silicone.","https://example.com/pinceau-patisserie"
ust-023,Passoire inox,passoire,"Égoutter pâtes, rincer légumes et fruits.","Base de la cuisine quotidienne.","https://example.com/passoire-inox"
ust-024,Chinois fin,chinois,"Filtrer sauces, soupes, crèmes.","Donne des préparations lisses, sans morceaux.","https://example.com/chinois-fin"
ust-025,Tamis à farine,tamis,"Tamiser farine, cacao, sucre glace.","Améliore l’aération et évite les grumeaux.","https://example.com/tamis-farine"
ust-026,Moule à tarte 28 cm,moule,"Cuire tartes salées, sucrées, quiches.","Fond amovible conseillé pour démoulage facile.","https://example.com/moule-tarte-28"
ust-027,Moule à cake,moule,"Cuire cakes sucrés, pains de mie, terrines.","Peut être en métal, silicone ou céramique.","https://example.com/moule-cake"
ust-028,Moule à muffins 12 empreintes,moule,"Cuire muffins, cupcakes, petits gâteaux.","Utilisable avec ou sans caissettes papier.","https://example.com/moule-muffins"
ust-029,Cocotte fonte 24 cm,cocotte,"Mijoter ragoûts, pains cocotte, braiser viandes.","Passe du feu au four, conserve très bien la chaleur.","https://example.com/cocotte-fonte-24"
ust-030,Faitout inox 24 cm,faitout,"Cuire pâtes, soupes, grandes quantités.","Alternative légère à la cocotte en fonte.","https://example.com/faitout-inox-24"
ust-031,Casserole inox 16 cm,casserole,"Préparer sauces, réchauffer petites portions.","Taille idéale pour sauces et accompagnements.","https://example.com/casserole-16"
ust-032,Casserole inox 20 cm,casserole,"Cuire riz, pâtes, légumes.","Complète bien une batterie de base.","https://example.com/casserole-20"
ust-033,Poêle inox 24 cm,poele,"Saisir viandes, snacker légumes.","Demande un peu de maîtrise pour éviter d’accrocher.","https://example.com/poele-inox-24"
ust-034,Poêle antiadhésive 28 cm,poele,"Cuire œufs, crêpes, aliments délicats.","Parfaite pour cuisson douce et peu de matières grasses.","https://example.com/poele-antiadhesive-28"
ust-035,Crêpière 28 cm,poele,"Cuire crêpes, galettes, pancakes.","Rebord très bas pour faciliter le retournement.","https://example.com/crepiere-28"
ust-036,Grill en fonte,grill,"Marquer viandes, légumes, poissons.","Donne les stries de grillade, chauffe fort.","https://example.com/grill-fonte"
ust-037,Plaque de four perforée,plaque,"Cuire tartes, pizzas, biscuits.","Les trous améliorent la circulation de la chaleur.","https://example.com/plaque-perforee"
ust-038,Grille de refroidissement,grille,"Refroidir gâteaux, biscuits, pains.","Évite la condensation sous les préparations.","https://example.com/grille-refroidissement"
ust-039,Épluche-légumes,eplucheur,"Éplucher légumes, fruits.","Plus rapide et sûr qu’un couteau pour débutants.","https://example.com/epluche-legumes"
ust-040,Râpe multi-faces,rape,"Râper fromages, légumes, zestes.","Plusieurs faces pour textures différentes.","https://example.com/rape-multifonction"
ust-041,Zesteur,zesteur,"Prélever zestes d’agrumes, râper finement parmesan.","Très utile pour relever sauces et desserts.","https://example.com/zesteur"
ust-042,Presse-ail,presse,"Écraser gousses d’ail rapidement.","Permet une diffusion homogène de l’ail dans les plats.","https://example.com/presse-ail"
ust-043,Mortier et pilon,mortier,"Broyer épices, herbes, graines, pesto.","Donne une texture plus rustique qu’un mixeur.","https://example.com/mortier-pilon"
ust-044,Ouvre-boîtes,ouvre-boites,"Ouvrir conserves métalliques.","Indispensable pour boîtes de tomates, maïs, etc.","https://example.com/ouvre-boites"
ust-045,Tire-bouchon,tire-bouchon,"Ouvrir bouteilles de vin.","Peut inclure coupe‑capsule et décapsuleur.","https://example.com/tire-bouchon"
ust-046,Entonnoir cuisine,entonnoir,"Transvaser liquides, sauces, confitures.","Évite les débordements et pertes de produit.","https://example.com/entonnoir"
ust-047,Thermomètre de cuisson,thermometre,"Contrôler températures viandes, sirops, fritures.","Indispensable pour cuisson précise et sécurité.","https://example.com/thermometre-cuisson"
ust-048,Minuteur de cuisine,minuteur,"Programmer temps de cuisson, repos pâtes.","Évite d’oublier un plat sur le feu.","https://example.com/minuteur"
ust-049,Boîte hermétique verre,conteneur,"Conserver restes, marinades, batch cooking.","Passe souvent au four et au micro‑ondes sans couvercle.","https://example.com/boite-hermetique"
ust-050,Boîte hermétique plastique,conteneur,"Conserver restes, transporter repas.","Légère, pratique pour le frigo et le congélateur.","https://example.com/boite-plastique"
